,sentences
151,remember save life bring happiness pass collection plate week right ned maude bring
152,maude god bless underline passage bible find
153,lucky gun house
154,ohhh get drunk look dress
155,homer marge go tell fault tell
156,come homer fault
157,marge interrupt turn
158,love guy stick self center
159,forget birthday anniversary holiday religious secular chew mouth open gamble hang seedy bar bum lowlife
160,blow nose towel put middle
161,half gallon chocolate
162,half gallon chocolate brownie fudge
163,half gallon chocolate chocolate chocolate chocolate chip
164,mom write shopping list
165,hey grampa aisle step
166,  drink carton change baby go sleep make chew noise wake make honking noise oh oh scratch key guess oh wait kick sleep toenail long yellow think right guess tired want thank let thing chest
167,miss luau night
168,want hear mcbain cannon regulation department book
169,know kid gettin ' pretty late
170,yeah bed grampa big day
171,use kid have ethical crisis
172,catch general sherman thirty clean eat thirty bed seven incriminate evidence perfect crime
173,homer sneak fishing believe selfishness fishing anytime try save marriage think fishing talk right right
174,good time honest
175,right help marge good guy
176,right sleep walk
177,get to good husband get to good husband get to good husband
178,hey kid forgot whoa
179,ahead general sherman waste strength big ugly catfish get to skillet stick butter
180,sure ma let kid drink coffee
181,hey milhouse big blowout casa de simpson adult frail old
182,bart joint uh twoish square
183,tell friend right get pretty funky friend
184,right noon invite party
185,trust exercise fall backwards rely spouse catch
186,husband recommend marge train marriage counselor instance tell partner percent right fault willing certificate frame
187,send word send word
188,yanks comin '
189,okay fish probably wonder catch famous fisherman right bald guy cable fishing
190,whoa holy mackerel
191,milhouse good pal happen man
192,cherry party bart chick
193,obvious degrade set child right movement decade come
194,great party lisa great
195,hey shut door stop away stop oh
196,haw haw haw
197,young hellion want belt
198,yeah care man hey thank come hey nice tie nelson
199,ah thanks dad
200,try good baby sitter fail feeb useless old wear
201,lisa strong unpleasant feeling
202,call remorse vile burlesque irrepressible youth
203,grab bucket brush clean hard fast
204,champion champion time loser cause champion worlllld
205,hi honey uh oh marriage retreat go
206,come retreat think marriage trouble minute thought trouble homer expect believe
207,marge know fish mean fish represent well life fish make champion hero
208,weirdo worm store
209,fish represent selfish
210,way feel throw
211,oh yeah sure
212,wow give fame breakfast marriage fight hour say word toss tell marriage trouble come baby
213,oh house look wonderful grampa secret
214,pretend cry right hear pretend cry turn like fawcet boo hoo oh cry sad
215,trust old person
216,fool long sucker hee hee hee
217,yup general sherman pound dwelling fury know know old ask people year day
218,fella come close go homer seven foot tall arm like tree trunk eye like steel cold hard shock hair red like fire hell
219,hurry mom convention soon good comics go
220,wow number fallout boy ward
221,care good comic_strip buy casper wimpy ghost
222,think sad equate friendliness wimpiness hope achieve true popularity
223,know think think casper ghost richie rich
224,hey look alike
225,wonder richie die
226,realize hollow pursuit money take life
227,kid lighten little
228,radioactive man rule punch bad guy say cool
229,oh yeah look knock guy sun say hot ya
230,bad come dressed popular cartoon character
231,look like discount
232,uh ahem young people springfield mayor like welcome annual funny book convention thank pump dollar local economy
233,youthful high spirit impart glow old war horse feel like radiation man
234,radioactive man jerk
235,stand correct fun sure clear shriner punk make fool diamond joe quimby
236,excuse sir turn left vulcan ear
237,let get utility belt couple tricorder light saber sorry kid
238,hey bart dude
239,hey otto man oooh
240,idea comic book little man dude drive school bus day night fight vampire post apocalyptic warzone
241,come bart go buddy hodge
242,guy play fallout boy tv
243,wow guess kill vietnam
244,aaahh laramie cigarette steady nerve need combat evil
245,gee whillikers radioactive man wisht old smoke laramie
246,sorry fallout boy sixteen
247,radioactive man act time save earth
248,great y'know kid sure like remember actor dirk richter portrayal radioactive man sordid detail final year let question tasteful okay big welcome buddy fallout boy hodge
249,radioactive man get inject shrink serum issue thirty come costume shrink
250,sure know finish play rum tum tugger second national tour company cat anybody
251,ooh ooh ooh ooh fallout boy oh oh
252,yes masked boy
253,think ghost dirk richter haunt bordello bullet riddled body find
254,dirk richter beautiful man little vulture leave
255,hey radioactive man number seventy imaginary tale radioactive man marry larva girl
256,tell special promise grubby little hand -PRON-
257,wow radioactive man number
258,bet worth million buck
259,lad let remind
260,moment know god earth know buy comic book
261,emotion place son
262,yeah mom guess dollar man sell thirty casper dozen lois lane
263,know superman see wonder woman golden lariat tie time
264,kid marge hey dinner krusty burger treat
265,right homer whoa sport dad take fine restaurant like krusty burger
266,need dollar comic book
267,buck comic book draw micha ma langelo
268,oh dad want world
269,look son know usually bug like mad try show pay attention know go to dollar go to stop bug
270,hee hee win face yeah like apple woo hoo hoo
271,gloat homer know bart age thing want world child size electric lightbulb oven parent money go sister patty selma
272,uh huh slave
273,give lot free time
274,uh huh let smoking
275,month work work sister smoke smoke
276,venus oh venus
277,want dress shields hand wash drip dry
278,big day finally come work lightbulb warm treat taste extra good
279,maybe time job answer
280,aw mom ask take care maggie lisa handful
281,mean job stupid
282,job realize time little piece childhood slip away forever
283,moment dad close
284,need money lot money ahh
285,ooh good like deposit defray cost jumbo cherry squishie
286,today need dime
287,oh good learn trade
288,americanize good man
289,coin worth lousy cent
290,let good time roll
291,oh humiliating feel like geek
292,terrible car slow laugh buying
293,maybe need play sympathy let
294,ah ha look pathetic
295,lemonade suck need new product let ah
296,form line crowd cheap beer sympathetic ear step right
297,ah bart credit little short week
298,uh get liquor license young fella
299,ugh dog eat
300,get to license sell beer
301,write ticket guy thirsty couple house
302,ell seeing offense
303,long officer uh oh
304,beer beer beautiful beer
305,poor boy desperate want earn money buy comic book
306,comic book oh boy change nazi smasher
307,send house get chore know mix whitewash
308,eh burt simpson look like get strong young
309,like eat get dry apricot almond paste sauerkraut candy
310,oh brother asa kill great war hold grenade long
311,kaiser bill special delivery uncle sam boy d company yeah johnny harrison brooklyn bob reggie yeah reggie be stuck know
312,ribbon candy boy love candy
313,boy love candy
314,oh yes madam
315,ugh think work madam
316,start little light yard work nice barley pop
317,want clear weed know one weed
318,careful inside watch story
319,filthy genuinely arouse
320,merciful heavens bleed iodine
321,listen lady yaaauuuuggghhh
322,think mrs glick nice poor old thing anybody
323,sludge certainly collect downspout
324,sludge old bat
325,today wash beulah know
326,old lady thing hear year
327,wedding dress dye black mourning dress
328,great story lady
329,night dream hold arm
330,iodine burn germ torch amputate arm yaaauuuggghhh
331,payday wager look forward
332,deserve penny know tell lot girlfriend chore
333,listen lady leave scream leave say bad word way say thank
334,welcome right spend penny whistle moon pie
335,moon pie butt somebody oughta moon pie
336,bustin ' hump week withered old clam get cent
337,hey age cent lot money
338,dad get thirty buck ugh work work chump
339,son proud twice age figure
340,buck forget stool
341,get sell seed visit aunt nursing home fish dime sewer god sake
342,freakin ' kid need get master degree folklore mythology
343,excuse carl yastrzemski baseball card big sideburn
344,thirty buck be get be gettin ' stool
345,wait minute martin milhouse go buy copy radioactive man right
346,freakin ' kid
347,look pal get buck like buy radioactive man waddle
348,wow breathe boy
349,smell like grandpa
350,uh oh look like rain better baby home
351,look like buy bargain
352,pant catch barbed wire good lord choke bomb
353,radioactive day forward shall radioactive man
354,think hit atomic bomb kill
355,turn page bart
356,listen guy welcome come read time like
357,house crazy talk
358,guy bart monday thursdays milhouse tuesday friday truly wednesday saturday
359,wait minute sunday
360,sunday possession determine random number generator digits milhouse bart seven
361,wait minute zero
362,unlikely event zero possession determine rock scissor paper competition well
363,excellent today saturday gentleman guess take comic
364,uh uh uh ah nice try martin work tonight comic book stay right
365,comic book stay right
366,fine go stay comic book like sleep yeah sleep pal right real friendly like
367,nice try mister
368,milhouse acid hand damage newsprint want comic forever alive honor bury
369,know make sap bartholemew j simpson
370,think boy like milk microwave s'mores
371,thank mrs simpson
372,sweet dream boy
373,step dead man
374,yeah right gettin '
375,dear friend martin try steal comic book
376,bart treat guest
377,quiet piggy stick apple mouth chance turn watch
378,oh little game let old bart nice drowsy turn wham
379,go crazy bart tell mom
380,hey martin tell squealer
381,know bad people bathroom
382,homer come check boy
383,milhouse far ground rain probably soften bit
384,know guy tie save comic speak
385,help bart want comic want carl yastrzemski big burn
386,boy better come house want sniffle
387,come play little tie game inside get cocoa stove want imitation marshmallow
388,raise hand mrs simpson
389,use fellow comic book return earth come
390,work hard go end share
391,world safe long
392,ah chief wiggum archbishop mcgee distinguish guest pleased dedicate emergency warn system uh chance nuclear disaster sign tell good citizen springfield
393,joke core explode will power light sign
394,like present man sign possible drop obstructionist legal challenge montgomery burn
395,mr burns late terribly wrong
396,better leave diamond joe quimby hold bag
397,turn get greet dignitary
398,oh mr burn get doctor
399,absolutely quack sawbones go apply leech long ounce strength leave
400,mmmm mr burns suffer medical man hypohemia layman term simply lack blood
401,damn doctor idiot know hypohemia want know
402,point hope transfusion
403,long sterilize needle
404,afraid simple blood type double o negative rare
405,b positive damn common gutter blood vein
406,smither feel bad kidney donate hit spot
407,hair head look
408,attention employee boss inspiration mr burns death death door type double o negative blood implore report bloodmobile outside
409,believe guy human million dollar need help wanna cash loser stick crummy dead end job
410,know homer supervisor
411,lee mur lee mur
412,zee boo zee boo
413,try teach maggie nature end barnyard want advantage
414,lisa good zebu
415,like ox hump dewlap hump dew lap hump dew lap
416,marge marge blood type
417,aw nut extremely rare blood
418,know blood type romantic
419,mother know family
420,oh yeah shoe size
421,sixteen permanent baby
422,want wear ring look cheap
423,butterscotch imitation butterscotch
424,glow dark monster
425,oh homie lot hair want know blood type
426,aw old man burns go to kick double o negative blood plant
427,woo yes right woo congratulation boy get date needle
428,hey wait minute blood right know
429,yeah right remain silent
430,bart help need decent thing
431,bart like ask blood free crazy little young understand save rich man life shower rich know story hercules lion
432,yeah probably time big mean lion get thorn paw village people try pull strong get hercules hercules mighty strength bingo moral lion happy give hercules big thing rich
433,hey let emergency life death
434,whoa otto man work
435,oh yeah day friend school get job certify bloodlette tech dude
436,okay let wash
437,homer brave young bart know hug
438,smither go want dictate epitaph
439,charles montgomery burns
440,  american patriot
441,  o tyrant hear mighty quake smither
442,oh o ' mornin ' ye look good old
443,hi mr burns
444,oh hey mr brown shoe local sport team hm
445,mr burns okay jackpot
446,heh heh heh game hasta manana osvaldo
447,smither pink pith vinegar
448,know funny smither try tincture poultice tonic patent medicine need blood young boy way lad
449,uh bart simpson sir
450,son homer simpson stiff sector g
451,simpson get nice surprise mail nice
452,bill bill summon bill wait minute c m burn yes woo hoo woo
453,marge lisa maggie let yard neighbor
454,lisa dim light turn light
455,little thin okay check
456,  well half marge well half
457,right check card panic sure tell get pick dear bart thank kindly blood truly montgomery burn card
458,way gratitude gold diamond ruby lousy card wait minute card get mad place
459,homer thing like reward fellow human need help hand
460,marge wife love live world believe flower bell leprechaun magic frog funny little hat
461,yeah mom get hosed
462,get exactly want give old man second chance
463,promise boy simple thing lot rich man break promise bart letter
464,  dear mr burns glaaad enjoy son blood caard great case tell sarcastic stink read
465,good senile buck toothe old mummy bony girl arm smell like
466,boss mail right minute
467,angry homer sleep
468,oh right hand thing usually work
469,homer breakfast ready
470,oh marge save make big mistake y'know finally understand meaning mmphm hnmph
471,homer think cornstarch canister
472,bart see letter
473,right think carefully
474,  shove mailbox
475,dad thing letter say know emotional guy mad night guarantee mad morning
476,homer encourage strangle
477,right okay think homer panic pick mail till noon time
478,ow ow ow ow ow ow ow
479,homer lock tight
480,lock eh little surprise sleeve old mr lock step aside boy
481,hey homer fight power
482,look like letter wet ink run able read
483,yeah people mail
484,people will letter boo hoo know kinda letter people write dear somebody hear blah blah blah blah blah blah blah truly bozo big loss
485,bart eye mailman kind signal
486,dear god plan water mail
487,uh uh guess good run because mail lady know address huh
488,go to run
489,want world hear story harrowing struggle hypohemia
490,sir mr roman fine ghostwriter business
491,write like hell muck unsinkable sadruddin mahbaradad
492,right right question sleep famous
493,countess van zeplin blaze listen bargain basement baudelaire dizzy starlet stre word write thing fire
494,okay mr burns
495,great plan bart
496,ooh look maggie dec ah edron dodecahedron
497,lisa know strange father try worry
498,  chapter fifth trip infirmary unexpected result
499,minute till burn come time operation mail
500,tell go to destroy family believe
501,oh frighten letter opener
502,hello case tell sarcastic
503,  stink senile buck toothe old mummy bony girl arm smell like elephant butt
504,hey come joey twist arm
505,homer tell job okay
506,crush like ant easy revenge dish well serve cold bide time oh hell crush like ant
507,  senile eh buck toothed bony arm liver spot chinless
508,pink slip await signature sir
509,odd rob man livelihood feel strangely tell smither beat pulp
510,oh see mr burn mad kinda mad
511,big letter writing pen
512,honey matter happen pull
513,okay plan sister raise kid die gutter practical mean
514,okay bart believe try scare
515,know homer simpson
516,yeah nice guy play poker
517,hmmm huh uh need beat
518,hold kick get
519,uh um umm
520,save mr burns ' life
521,close gentle reader like thank thank misprint enjoy write book enjoy read end
522,ah smither beating
523,sir uh beating
524,sorry sir hurt homer simpson save life
525,know mad think fair warn go stand outside gate forgive
526,need smither usual sober ying rage yang ' er old pal
527,sir wish handshake end afraid simpson matter attend
528,moe tavern elite meet drink
529,eh yeah hello mike rotch
530,hold check mike rotch mike rotch hey anybody see mike rotch lately
531,listen little puke day go to catch go to carve ice pick
532,matter homer normal effervescent self
533,get problem moe
534,homer hey drink forget problem
535,yeah drink enhance social skill
536,simpson present extravagant present mad unthinkable utterly impossible present frabulous grabulous zip zoop zabulous present
537,pool table mad go to turn home saloon
538,b sir thirty thousand dollar
539,dare sully moment price taggery perfect
540,oh mr burns
541,heave ho heave ho heave ho heave ho heave ho
542,wait dad smile
543,mr burns bring present
544,think go beat bloody pulp
545,hard feeling advance copy book rainbow young fellow forget
546,open crate stupid
547,tell bet fill diamond ruby sapphire pearl
548,wow big ugly head
549,actually son big ugly olmec indian head carve meso american indians year ago gruesome customer xt'tapalatakettle god war
550,maggie az tec old mec old mec
551,let acquaint se xt'tapalatakettle ta
552,sir god generosity
553,save guy life whattaya nothing bad nothing big scary rock
554,hey man bad mouth head
555,homer thought count moral story good deed reward
556,hey get reward head cool
557,guess moral good deed go unrewarded
558,wait minute write nasty letter get
559,guess moral squeaky wheel get grease
560,exactly bunch stuff happen
561,certainly memorable day
562,bart bart hey bart
563,lisa m wrong dad die
564,bart birthday day go to year old big number double digit
565,enjoy change hit big oh leg start candy taste good anymore
566,bart let pour little heart
567,sorry old timer ramble
568,bart disappoint birthday thing lose break hour okay forget
569,okay uh huh okay okay okay okay okay okay birthday gift come way
570,bart watch maggie laundry
571,hm krusty hotline
572,hi kid reach krusty hotline ask parent ' permission naughty naughty krusty forgive dollar minute cent additional minute
573,thank call kid new message day
574,bart ask watch sister
575,try stop overpower
576,steal shirt steal shirt
577,oh thank marge pink
578,marge wear pink shirt work everybody wear white shirt popular different
579,homer panic plenty white shirt
580,oh gimme gimme gimme gimme gimme
581,oh pink pink pink marge
582,ah lucky red hat clean whistle
583,homer go notice wear pink shirt work
584,wait minute zoom man pink
585,oh homer simpson sir boob sector g
586,simpson eh judge outlandish attire sort free thinking anarchist
587,excellent color monitor pay
588,hey homer save doughnut
589,mmm thank look hey wait minute wear pink shirt mean kind pink doughnut eater tempting
590,understand son throw red hat white laundry
591,spare tired semantic simpson family away
592,know mr burn body cavity search reveal x ray time maybe tell truth
593,cahoot smither recall penchant bell trouser '
594,uh sir costume plant production h m s pinafore
595,oh yes course spirited hornpipe steal recall doctor shall free wheeling fop
596,monty establish patient sanity take month change thank marvin monroe home personality test simple question determine crazy meshuggenah
597,honey favor fill form
598,homer intimate psychological profile fill
599,right right lisa
600,lisa like homework fill form
601,right listen poem write
602,meditation turn lisa simpson cat name snowball die die mom say sleep lie lie oh cat dead chrysler hit instead hamster name snuffy die
603,son different time let vote remember absentee ballot
604,home video finalist man break hip
605,dog fire ruff anybody order hot dog
606,finally baby nail gun
607,okay time cast vote
608,dog fire dog fire
609,hey dad hear voice
610,yes hear right try watch tv
611,yes quick anger
612,bart shut shut
613,yes wet pant good occasional accident
614,careful man wet pant
615,devil fly open
616,spill floor bug go go to eat
617,happy birthday lisa
618,boy fair tell sane insane
619,stamp hand insane
620,big white guy think little black guy
621,hi michael jackson jackson
622,homer simpson simpson
623,believe hear popular entertainer
624,oh course hear mean live rock know
625,billie jean lover girl say kid son hee hee hee
626,wow thing foot
627,look raise heel bit little pressure ball foot
628,hee hee hee
629,like nice guy
630,wear pink shirt
631,understand people think crazy way dress
632,white glove cover rhinestone
633,bbl bbl bbl bbl
634,bart split second die bet scratchy appreciate birthday present relate
635,hey want year gesture get sis
636,hey michael guy normal
637,homer floyd idiot savant number multiply head like
638,guy chief say word move muscle
639,time somebody reach
640,gee get to family
641,oh embarrassing call -PRON- nut house mean think god
642,oh great uh try good face tell place rich woman lose weight
643,joe crematorium kill -PRON- grill -PRON-
644,bart simpson hell
645,michael jackson way
646,true father mental institution
647,uh huh elvi
648,aw come michael jackson date grammys
649,brooke shields diana ross emmanuel lewis bubble
650,shiver timber michael jackson stay line friend relative
651,afraid bart father need help want lobotomy
652,probably size uh huh new bedlam asylum love need fear get michael jackson whoo hoo love man
653,hey mom dad mental institution
654,oh god mother right
655,homer worry family go to know
656,forget pal way be pretty
657,tell kid go send father crazy house
658,mom say poor house
659,say crazy house
660,hello reach new bedlam wrongly commit hotline operator currently busy stay line
661,place strange mike ashamed admit guy scared
662,scared maybe help
663,homer need look find look friend friend get friend
664,pancake football booby
665,bubble go to long night
666,wish love good wish peace joy
667,feel free express session want feel relaxed uninhibited
668,okay work insurance company right huh young vp history firm okay job life monday morning get leave house
669,homer dave suffer agoraphobia fear open area crowd dave
670,thank day know long drive work
671,mrs simpson sorry husband suffer persecution complex extreme paranoia bladder hostility
672,doctor talk minute mention son bart sane
673,mean bart good lord
674,oh mr simpson get visitor
675,mr simpson talk wife believe threat
676,flattering thing say writing
677,thank lot michael help find marble come visit
678,get real depressed wall album get lousy grammy nomination
679,happy birthday happy birthday happy birthday overlook middle child happy birthday
680,joe taxidermy snuff -PRON- stuff -PRON-
681,boy home go wrap hand neck
682,homer get cut dose
683,listen bring michael jackson home stay day cute hear sure plenty cold cut beer ice
684,um homer vegetarian drink
685,yes homer sure tell anybody come
686,yes dad solemnly swear tell living soul milhouse
687,hello milhouse secret
688,oh care michael jackson come house
689,aunt bella wait minute get line michael jackson
690,hand bulletin rock ' n ' rumor department
691,right michael jackson thriller moonwalkin ' way right spring field
692,check enjoy seldom hear extra longggg version gadda da vida
693,michael jackson oh thing happen blue moon dare leave post
694,exciting thing happen fair town uh dalai lama visit declare route currently know dalai lama expressway henceforth know michael jackson expressway
695,guy pink shirt father family turn release mental hospital
696,thanks everybody great sane
697,hell think michael jackson visit jerkwater burg
698,owe michael jackson
699,face ya tool
700,bart entire town howl blood join question today birthday promise afraid ask
701,know maybe trust instinct ask
702,think oh bart
703,dear bart stationery mom dad give birthday inform brother sister professional advise hug far distant family reunion rest assure purely
704,wish well heart desire
705,bart kid money know sister ' birthday roll
706,write song care
707,age gold record
708,hey looney tune michael jackson look like look like big fat mental patient
709,look boy michael jackson guy work recording studio la willing work song choice long
710,wait wait michael sit piano boil coffee
711,lisa tooth big green lisa smell like gasoline lisa da da da deesa sis ta birthday miss ta
712,bart get real feeling sister
713,let look maybe help
714,ah look sad
715,cause know look
716,aware look look exactly
717,bart think happen turn
718,training wheel come bike
719,good good training wheel come bike start notice boy like hee hee hee
720,lisa lisa lisa
721,huh wha bart m
722,right hope like present
723,li sa birthday god bless day give gift little sister proud today
724,lisa birthday happy birthday lisa
725,oh good present get thank bart thank michael
726,hey michael happen voice
727,real voice leon kompowski brick layer patterson new jersey life angry day talk like sudden everybody smile do good earth keep do tired point truly crazy
728,bye bye leon bye roomie bye pardner credit dementia
729,lisa birthday god bless day give gift da doo da dee dee doo doo proud today
730,lisa birthday happy birthday lisa lisa birthday happy birthday lisa
731,stupid junk mail win yeah win good news homer simpsoy get dumb think
732,mr simpson assure check non negotiable
733,oh yeah make damn sure
734,say void void void check cash value twentieth cent mr banker honor
735,feeling good true time million dollar queer deal
736,think real check exclamation point
737,get free sample read digest
738,marge read magazine life go to start
739,  dear want compact be truth
740,truth homer document woman safe driver man
741,oh marge cartoon deep meaning stupid drawing cheap laugh
742,hey einstein readin ' lunchtime
743,hey wanna eat ya stomach staple
744,tolstoy say quotable notable learn sir black bread
745,homer simpson sir
746,simpson eh strange job description clearly specify illiterate
747,return troy mcclure delore montenegro preacher shovel
748,irrigation save people chief smile bear
749,marge look stare idiot box god forbid read improve mind
750,certainly take shine magazine
751,magazine marge hundred magazine filter crap leave fit right pocket
752,kid know miss
753,hey give man
754,go to sit family listen inspiring story wilderness survival
755,hear sound arctic explorer dread pitiless bark sea lion kill
756,homer obviously get alive write article
757,homie magazine minute
758,think want snuggle
759,remind seven way spice marriage
760,marge nice body like costume ask
761,wow little meatloaf man
762,think baby steer wrong free free
763,certainly enrich life
764,wow win trip washington d c expense pay vip tour oh kid
765,hm essay contest child word fiercely pro american sound interesting
766,bart maybe like
767,mom nice thought know pony bet
768,ben franklin alive today oh think well opening
769,ooh miss question
770,stick like bike ride kid bike ride anymore
771,know think maybe bike cool anymore kid use word cool
772,okay america inspire
773,wow bald eagle
774,thank drive contest dad
775,  burn flag better burn thing well burn shirt pant sure burn tv car oh yes forget burn house thing exist white stripe seven red stripe hell lotta star thank
776,yeah damn right
777,recipe free country mix cup liberty teaspoon justice add inform electorate baste veto power
778,spineless belly yellow american non voter
779,  stir cup check sprinkle liberally balance
780,ding dong sound liberty bell ding freedom dong opportunity ding excellent school dong quality hospital
781,america bear hot july day tree springfield forest tiny sapling tremble sun nourish mother earth fledgling nation find strength simple ideal equality justice think mighty oak powerful nation grow fragile pure thank
782,good little good year old methink detect sickly scent daddy
783,mr simpson like ask question daughter essay lisa excuse
784,interested politic government
785,lisa meet father decide award additional point congratulation family go washington
786,woo hoo guess reading writing pay
787,play card notepad aspirin sew kit pilot wing pin propellor shape swizzle stick sleep mask get come
788,little boy bet like visit cockpit
789,control stick like handlebar tricycle like hang coat
790,thank push button
791,go to die
792,look marge guy taxi
793,oooh look homer irs
794,homer look shower cap body gel bathrobe ooh welcome mint pillow
795,wowww shoehorn like movie
796,shoe go shoe go shoe go shoe go shoe go shoe go
797,bart thing bedsie
798,good night sleep lisa
799,stupid welcome mint y'ello
800,good morning wake
801,lisa faith crowley patriotism editor read digest
802,ooh love magazine favorite section increase word power thing good
803,lisa like meet finalist truong van dinh maria dominguez
804,maria national spelling bee champion truong win westinghouse talent search nfl punt pass kick competition
805,run problem superior ability
806,special vip badge place tourist
807,  spot richard nixon bowl game
808,wow president bathroom
809,oh damn badge okay tub instal
810,hey watch chief
811,folk print eighteen million bill day oh case wonder free sample
812,lousy cheap country
813,bart spirit st louis
814,oh marge grow
815,congressman springfield national forest
816,basically want cut
817,artist rendition old growth age fester away come log company thin clutter nature y'know cycle
818,jerry whale lobbyist like logging permit uh like bury toxic waste people go to notice tree go
819,uh congressman get awkward know want
820,  offer bribe
821,little girl springfield write essay good photo op
822,uh sure fine
823,get little place use uh matter tonight
824,hi lisa simpson
825,lisa doer know maybe day congressman senator woman senator know
826,tot shot play stick
827,ah nice politician care
828,lisa contest hour
829,excited sleep winifre beecher howe memorial
830,early crusader woman right lead floormop rebellion later appear highly unpopular cent piece
831,okay know miss
832,  iron sheet iron inequity labor law amen sister
833,bob stand springfield forest logging permit
834,let way jerry tim berrr
835,read essay believe word
836,honest abe way
